species_id,scientific_name,common_name,status,kingdom,detail_url,image_url
1556,Scorodocarpus borneensis,Kulim,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=1556,https://cms.mybis.gov.my/thumbnail/s300_6500.jpeg
58457,Selaginella alutacia,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=58457,https://cms.mybis.gov.my/thumbnail/s300_8801.jpeg
58459,Selaginella cuprea,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=58459,https://cms.mybis.gov.my/img/plant.png
58461,Selaginella curtisii,,Data Deficient,Plantae,https://www.mybis.gov.my/one/profile.php?sid=58461,https://cms.mybis.gov.my/img/plant.png
6414,Selaginella delicatula,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=6414,https://cms.mybis.gov.my/thumbnail/s300_34.jpeg
47310,Selaginella intermedia,Jambul Merak,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=47310,https://cms.mybis.gov.my/thumbnail/s300_6726.jpeg
47311,Selaginella involvens,,Data Deficient,Plantae,https://www.mybis.gov.my/one/profile.php?sid=47311,https://cms.mybis.gov.my/img/plant.png
58462,Selaginella mayeri,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=58462,https://cms.mybis.gov.my/img/plant.png
58464,Selaginella minutifolia,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=58464,https://cms.mybis.gov.my/img/plant.png
58465,Selaginella morgani,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=58465,https://cms.mybis.gov.my/img/plant.png
58466,Selaginella ornata,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=58466,https://cms.mybis.gov.my/img/plant.png
58467,Selaginella padangensis,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=58467,https://cms.mybis.gov.my/img/plant.png
44511,Selaginella roxburghii,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=44511,https://cms.mybis.gov.my/img/plant.png
52299,Selaginella selangorensis,,Vulnerable,Plantae,https://www.mybis.gov.my/one/profile.php?sid=52299,https://cms.mybis.gov.my/img/plant.png
58473,Selaginella stipulata,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=58473,https://cms.mybis.gov.my/thumbnail/s300_8503.jpeg
45316,Selaginella wallichii,Paku Merak,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=45316,https://cms.mybis.gov.my/img/plant.png
45310,Selaginella willdenowii,Peacock Fern,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=45310,https://cms.mybis.gov.my/thumbnail/s300_2570.jpeg
11281,Selliguea enervis,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=11281,https://cms.mybis.gov.my/thumbnail/s300_13678.jpeg
19952,Selliguea laciniata,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=19952,https://cms.mybis.gov.my/thumbnail/s300_890.jpeg
47162,Selliguea lateritia,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=47162,https://cms.mybis.gov.my/thumbnail/s300_891.jpeg
43000,Selliguea platyphylla,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=43000,https://cms.mybis.gov.my/thumbnail/s300_895.jpeg
37816,Selliguea stenophylla,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=37816,https://cms.mybis.gov.my/thumbnail/s300_897.jpeg
